Gender,ExpierenceYears,ExpierenceYearsGermany,SeniorityLevel,Your main technology / programming language,Other technologies/programming languages you use often,Salary,Yearly bonus + stocks in EUR,SalaryYearAgo,Employment status,Сontract duration,Main language at work,CompanySize,LostJobDueToCorona
Male,"(5.0, 9.0]","(-0.001, 2.0]",Senior,Android,"Kotlin, Java / Scala","(71750.0, 80000.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(12.0, 30.0]","(2.0, 3.0]",Senior,Python,"Python, Ruby, Java / Scala, Go, Rust, AWS, Kubernetes, Docker, Terraform, helm, packer","(62000.0, 71750.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(12.0, 30.0]","(5.0, 30.0]",Senior,.NET,"Python, Javascript / Typescript, SQL, AWS, Docker","(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(5.0, 9.0]","(-0.001, 2.0]",Senior,"TypeScript, React","Javascript / Typescript, Google Cloud, Kubernetes, Docker","(80000.0, 115000.0]","(15000.0, 200000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,python,"Python, R, SQL, SAP / ABAP, AWS, Kubernetes, Docker","(28799.999, 62000.0]","(15000.0, 200000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(3.0, 5.0]",Lead,Python / JavaScript (React),"Python, Javascript / Typescript, SQL, AWS, Docker, React, Tailwindcss","(80000.0, 115000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(9.0, 12.0]","(5.0, 30.0]",Senior,Java,"Javascript / Typescript, Go","(80000.0, 115000.0]","(15000.0, 200000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(9.0, 12.0]","(3.0, 5.0]",Senior,Terraform,"PHP, SQL, AWS, Docker","(80000.0, 115000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(9.0, 12.0]","(3.0, 5.0]",Senior,Swift,"Swift, Objective-C","(62000.0, 71750.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,1000+,Yes
Male,"(5.0, 9.0]","(-0.001, 2.0]",Middle,Apache Spark,"Python, Java / Scala","(80000.0, 115000.0]","(15000.0, 200000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Junior,Java,"Python, SQL","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,11-50,No
